Time (s),Tendon 1,Tendon 2,Tendon 3,Tendon 4
0.000000,0.000000,0.000000,0.000000,0.000000
0.004000,0.000000,0.000000,0.000000,0.000000
0.008000,0.000000,0.000000,0.000000,0.000000
0.012000,0.000000,0.000000,0.000000,0.000000
0.016001,0.000000,0.000000,0.000000,0.000000
0.020001,0.000000,0.000000,0.000000,0.000000
0.024001,0.000000,0.000000,0.000000,0.000000
0.028001,0.000000,0.000000,0.000000,0.000000
0.032001,0.000000,0.000000,0.000000,0.000000
0.036001,0.000000,0.000000,0.000000,0.000000
0.040002,0.000000,0.000000,0.000000,0.000000
0.044002,0.000000,0.000000,0.000000,0.000000
0.048002,0.000000,0.000000,0.000000,0.000000
0.052002,0.000000,0.000000,0.000000,0.000000
0.056002,0.000000,0.000000,0.000000,0.000000
0.060002,0.000000,0.000000,0.000000,0.000000
0.064003,0.000000,0.000000,0.000000,0.000000
0.068003,0.000000,0.000000,0.000000,0.000000
0.072003,0.000000,0.000000,0.000000,0.000000
0.076003,0.000000,0.000000,0.000000,0.000000
0.080003,0.000000,0.000000,0.000000,0.000000
0.084003,0.000000,0.000000,0.000000,0.000000
0.088004,0.000000,0.000000,0.000000,0.000000
0.092004,0.000000,0.000000,0.000000,0.000000
0.096004,0.000000,0.000000,0.000000,0.000000
0.100004,0.000000,0.000000,0.000000,0.000000
0.104004,0.000000,0.000000,0.000000,0.000000
0.108004,0.000000,0.000000,0.000000,0.000000
0.112004,0.000000,0.000000,0.000000,0.000000
0.116005,0.000000,0.000000,0.000000,0.000000
0.120005,0.000000,0.000000,0.000000,0.000000
0.124005,0.000000,0.000000,0.000000,0.000000
0.128005,0.000000,0.000000,0.000000,0.000000
0.132005,0.000000,0.000000,0.000000,0.000000
0.136005,0.000000,0.000000,0.000000,0.000000
0.140006,0.000000,0.000000,0.000000,0.000000
0.144006,0.000000,0.000000,0.000000,0.000000
0.148006,0.000000,0.000000,0.000000,0.000000
0.152006,0.000000,0.000000,0.000000,0.000000
0.156006,0.000000,0.000000,0.000000,0.000000
0.160006,0.000000,0.000000,0.000000,0.000000
0.164007,0.000000,0.000000,0.000000,0.000000
0.168007,0.000000,0.000000,0.000000,0.000000
0.172007,0.000000,0.000000,0.000000,0.000000
0.176007,0.000000,0.000000,0.000000,0.000000
0.180007,0.000000,0.000000,0.000000,0.000000
0.184007,0.000000,0.000000,0.000000,0.000000
0.188008,0.000000,0.000000,0.000000,0.000000
0.192008,0.000000,0.000000,0.000000,0.000000
0.196008,0.000000,0.000000,0.000000,0.000000
0.200008,0.000000,0.000000,0.000000,0.000000
0.204008,0.000000,0.000000,0.000000,0.000000
0.208008,0.000000,0.000000,0.000000,0.000000
0.212008,0.000000,0.000000,0.000000,0.000000
0.216009,0.000000,0.000000,0.000000,0.000000
0.220009,0.000000,0.000000,0.000000,0.000000
0.224009,0.000000,0.000000,0.000000,0.000000
0.228009,0.000000,0.000000,0.000000,0.000000
0.232009,0.000000,0.000000,0.000000,0.000000
0.236009,0.000000,0.000000,0.000000,0.000000
0.240010,0.000000,0.000000,0.000000,0.000000
0.244010,0.000000,0.000000,0.000000,0.000000
0.248010,0.000000,0.000000,0.000000,0.000000
0.252010,0.000000,0.000000,0.000000,0.000000
0.256010,0.000000,0.000000,0.000000,0.000000
0.260010,0.000000,0.000000,0.000000,0.000000
0.264011,0.000000,0.000000,0.000000,0.000000
0.268011,0.000000,0.000000,0.000000,0.000000
0.272011,0.000000,0.000000,0.000000,0.000000
0.276011,0.000000,0.000000,0.000000,0.000000
0.280011,0.000000,0.000000,0.000000,0.000000
0.284011,0.000000,0.000000,0.000000,0.000000
0.288012,0.000000,0.000000,0.000000,0.000000
0.292012,0.000000,0.000000,0.000000,0.000000
0.296012,0.000000,0.000000,0.000000,0.000000
0.300012,0.000000,0.000000,0.000000,0.000000
0.304012,0.000000,0.000000,0.000000,0.000000
0.308012,0.000000,0.000000,0.000000,0.000000
0.312012,0.000000,0.000000,0.000000,0.000000
0.316013,0.000000,0.000000,0.000000,0.000000
0.320013,0.000000,0.000000,0.000000,0.000000
0.324013,0.000000,0.000000,0.000000,0.000000
0.328013,0.000000,0.000000,0.000000,0.000000
0.332013,0.000000,0.000000,0.000000,0.000000
0.336013,0.000000,0.000000,0.000000,0.000000
0.340014,0.000000,0.000000,0.000000,0.000000
0.344014,0.000000,0.000000,0.000000,0.000000
0.348014,0.000000,0.000000,0.000000,0.000000
0.352014,0.000000,0.000000,0.000000,0.000000
0.356014,0.000000,0.000000,0.000000,0.000000
0.360014,0.000000,0.000000,0.000000,0.000000
0.364015,0.000000,0.000000,0.000000,0.000000
0.368015,0.000000,0.000000,0.000000,0.000000
0.372015,0.000000,0.000000,0.000000,0.000000
0.376015,0.000000,0.000000,0.000000,0.000000
0.380015,0.000000,0.000000,0.000000,0.000000
0.384015,0.000000,0.000000,0.000000,0.000000
0.388016,0.000000,0.000000,0.000000,0.000000
0.392016,0.000000,0.000000,0.000000,0.000000
0.396016,0.000000,0.000000,0.000000,0.000000
0.400016,0.000000,0.000000,0.000000,0.000000
0.404016,0.000000,0.000000,0.000000,0.000000
0.408016,0.000000,0.000000,0.000000,0.000000
0.412016,0.000000,0.000000,0.000000,0.000000
0.416017,0.000000,0.000000,0.000000,0.000000
0.420017,0.000000,0.000000,0.000000,0.000000
0.424017,0.000000,0.000000,0.000000,0.000000
0.428017,0.000000,0.000000,0.000000,0.000000
0.432017,0.000000,0.000000,0.000000,0.000000
0.436017,0.000000,0.000000,0.000000,0.000000
0.440018,0.000000,0.000000,0.000000,0.000000
0.444018,0.000000,0.000000,0.000000,0.000000
0.448018,0.000000,0.000000,0.000000,0.000000
0.452018,0.000000,0.000000,0.000000,0.000000
0.456018,0.000000,0.000000,0.000000,0.000000
0.460018,0.000000,0.000000,0.000000,0.000000
0.464019,0.000000,0.000000,0.000000,0.000000
0.468019,0.000000,0.000000,0.000000,0.000000
0.472019,0.000000,0.000000,0.000000,0.000000
0.476019,0.000000,0.000000,0.000000,0.000000
0.480019,0.000000,0.000000,0.000000,0.000000
0.484019,0.000000,0.000000,0.000000,0.000000
0.488020,0.000000,0.000000,0.000000,0.000000
0.492020,0.000000,0.000000,0.000000,0.000000
0.496020,0.000000,0.000000,0.000000,0.000000
0.500020,0.000000,0.000000,0.000000,0.000000
0.504020,0.000000,0.000000,0.000000,0.000000
0.508020,0.000000,0.000000,0.000000,0.000000
0.512020,0.000000,0.000000,0.000000,0.000000
0.516021,0.000000,0.000000,0.000000,0.000000
0.520021,0.000000,0.000000,0.000000,0.000000
0.524021,0.000000,0.000000,0.000000,0.000000
0.528021,0.000000,0.000000,0.000000,0.000000
0.532021,0.000000,0.000000,0.000000,0.000000
0.536021,0.000000,0.000000,0.000000,0.000000
0.540022,0.000000,0.000000,0.000000,0.000000
0.544022,0.000000,0.000000,0.000000,0.000000
0.548022,0.000000,0.000000,0.000000,0.000000
0.552022,0.000000,0.000000,0.000000,0.000000
0.556022,0.000000,0.000000,0.000000,0.000000
0.560022,0.000000,0.000000,0.000000,0.000000
0.564023,0.000000,0.000000,0.000000,0.000000
0.568023,0.000000,0.000000,0.000000,0.000000
0.572023,0.000000,0.000000,0.000000,0.000000
0.576023,0.000000,0.000000,0.000000,0.000000
0.580023,0.000000,0.000000,0.000000,0.000000
0.584023,0.000000,0.000000,0.000000,0.000000
0.588024,0.000000,0.000000,0.000000,0.000000
0.592024,0.000000,0.000000,0.000000,0.000000
0.596024,0.000000,0.000000,0.000000,0.000000
0.600024,0.000000,0.000000,0.000000,0.000000
0.604024,0.000000,0.000000,0.000000,0.000000
0.608024,0.000000,0.000000,0.000000,0.000000
0.612024,0.000000,0.000000,0.000000,0.000000
0.616025,0.000000,0.000000,0.000000,0.000000
0.620025,0.000000,0.000000,0.000000,0.000000
0.624025,0.000000,0.000000,0.000000,0.000000
0.628025,0.000000,0.000000,0.000000,0.000000
0.632025,0.000000,0.000000,0.000000,0.000000
0.636025,0.000000,0.000000,0.000000,0.000000
0.640026,0.000000,0.000000,0.000000,0.000000
0.644026,0.000000,0.000000,0.000000,0.000000
0.648026,0.000000,0.000000,0.000000,0.000000
0.652026,0.000000,0.000000,0.000000,0.000000
0.656026,0.000000,0.000000,0.000000,0.000000
0.660026,0.000000,0.000000,0.000000,0.000000
0.664027,0.000000,0.000000,0.000000,0.000000
0.668027,0.000000,0.000000,0.000000,0.000000
0.672027,0.000000,0.000000,0.000000,0.000000
0.676027,0.000000,0.000000,0.000000,0.000000
0.680027,0.000000,0.000000,0.000000,0.000000
0.684027,0.000000,0.000000,0.000000,0.000000
0.688028,0.000000,0.000000,0.000000,0.000000
0.692028,0.000000,0.000000,0.000000,0.000000
0.696028,0.000000,0.000000,0.000000,0.000000
0.700028,0.000001,0.000000,0.000000,0.000000
0.704028,0.000001,0.000000,0.000000,0.000000
0.708028,0.000001,0.000000,0.000000,0.000000
0.712028,0.000001,0.000000,0.000000,0.000000
0.716029,0.000001,0.000000,0.000000,0.000000
0.720029,0.000001,0.000000,0.000000,0.000000
0.724029,0.000001,0.000000,0.000000,0.000000
0.728029,0.000001,0.000000,0.000000,0.000000
0.732029,0.000001,0.000001,0.000000,0.000000
0.736029,0.000001,0.000001,0.000000,0.000000
0.740030,0.000001,0.000001,0.000000,0.000000
0.744030,0.000001,0.000001,0.000000,0.000000
0.748030,0.000001,0.000001,0.000000,0.000000
0.752030,0.000001,0.000001,0.000000,0.000000
0.756030,0.000001,0.000001,0.000000,0.000000
0.760030,0.000001,0.000001,0.000000,0.000000
0.764031,0.000001,0.000001,0.000000,0.000000
0.768031,0.000001,0.000001,0.000000,0.000000
0.772031,0.000001,0.000001,0.000000,0.000000
0.776031,0.000001,0.000001,0.000000,0.000000
0.780031,0.000001,0.000001,0.000000,0.000000
0.784031,0.000001,0.000001,0.000000,0.000000
0.788032,0.000001,0.000001,0.000000,0.000000
0.792032,0.000001,0.000001,0.000000,0.000000
0.796032,0.000001,0.000001,0.000000,0.000000
0.800032,0.000001,0.000001,0.000000,0.000000
0.804032,0.000001,0.000001,0.000000,0.000000
0.808032,0.000001,0.000001,0.000000,0.000000
