time[s],q_0[mm],q_2[mm]
0.0000000000,-0.0000000000,0.0000000000
0.0100000000,-0.0000590000,0.0000000000
0.0200000000,-0.0002370000,0.0000000000
0.0300000000,-0.0005330000,0.0000000000
0.0400000000,-0.0009470000,0.0000000000
0.0500000000,-0.0014800000,0.0000000000
0.0600000000,-0.0021320000,0.0000000000
0.0700000000,-0.0029010000,0.0000000000
0.0800000000,-0.0037890000,0.0000000000
0.0900000000,-0.0047950000,0.0000000000
0.1000000000,-0.0059200000,0.0000000000
0.1100000000,-0.0071620000,0.0000000000
0.1200000000,-0.0085230000,0.0000000000
0.1300000000,-0.0100020000,0.0000000000
0.1400000000,-0.0115990000,0.0000000000
0.1500000000,-0.0133140000,0.0000000000
0.1600000000,-0.0151470000,0.0000000000
0.1700000000,-0.0170980000,0.0000000000
0.1800000000,-0.0191660000,0.0000000000
0.1900000000,-0.0213520000,0.0000000000
0.2000000000,-0.0236560000,0.0000000000
0.2100000000,-0.0260770000,0.0000000000
0.2200000000,-0.0286160000,0.0000000000
0.2300000000,-0.0312720000,0.0000000000
0.2400000000,-0.0340450000,0.0000000000
0.2500000000,-0.0369350000,0.0000000000
0.2600000000,-0.0399420000,0.0000000000
0.2700000000,-0.0430660000,0.0000000000
0.2800000000,-0.0463070000,0.0000000000
0.2900000000,-0.0496640000,0.0000000000
0.3000000000,-0.0531380000,0.0000000000
0.3100000000,-0.0567280000,0.0000000000
0.3200000000,-0.0604350000,0.0000000000
0.3300000000,-0.0642570000,0.0000000000
0.3400000000,-0.0681960000,0.0000000000
0.3500000000,-0.0722500000,0.0000000000
0.3600000000,-0.0764190000,0.0000000000
0.3700000000,-0.0807040000,0.0000000000
0.3800000000,-0.0851050000,0.0000000000
0.3900000000,-0.0896200000,0.0000000000
0.4000000000,-0.0942510000,0.0000000000
0.4100000000,-0.0989960000,0.0000000000
0.4200000000,-0.1038550000,0.0000000000
0.4300000000,-0.1088290000,0.0000000000
0.4400000000,-0.1139170000,0.0000000000
0.4500000000,-0.1191190000,0.0000000000
0.4600000000,-0.1244350000,0.0000000000
0.4700000000,-0.1298640000,0.0000000000
0.4800000000,-0.1354060000,0.0000000000
0.4900000000,-0.1410620000,0.0000000000
0.5000000000,-0.1468300000,0.0000000000
0.5100000000,-0.1527120000,0.0000000000
0.5200000000,-0.1587050000,0.0000000000
0.5300000000,-0.1648110000,0.0000000000
0.5400000000,-0.1710280000,0.0000000000
0.5500000000,-0.1773580000,0.0000000000
0.5600000000,-0.1837980000,0.0000000000
0.5700000000,-0.1903500000,0.0000000000
0.5800000000,-0.1970130000,0.0000000000
0.5900000000,-0.2037870000,0.0000000000
0.6000000000,-0.2106710000,0.0000000000
0.6100000000,-0.2176650000,0.0000000000
0.6200000000,-0.2247680000,0.0000000000
0.6300000000,-0.2319820000,0.0000000000
0.6400000000,-0.2393040000,0.0000000000
0.6500000000,-0.2467360000,0.0000000000
0.6600000000,-0.2542760000,0.0000000000
0.6700000000,-0.2619250000,0.0000000000
0.6800000000,-0.2696820000,0.0000000000
0.6900000000,-0.2775470000,0.0000000000
0.7000000000,-0.2855190000,0.0000000000
