p_targ_x,p_targ_z
-0.03384,0.03602
-0.03321,0.03695
-0.03307,0.03716
-0.03263,0.03782
-0.03236,0.03822
-0.03197,0.03873
-0.03158,0.03921
-0.03123,0.03964
-0.03087,0.04009
-0.03046,0.04058
-0.03006,0.04103
-0.02964,0.04148
-0.02926,0.0419
-0.02884,0.04234
-0.02845,0.04275
-0.02799,0.04319
-0.02755,0.04362
-0.02711,0.04402
-0.02666,0.04442
-0.02621,0.04481
-0.02571,0.04522
-0.02525,0.04559
-0.02485,0.04592
-0.02432,0.04633
-0.02382,0.0467
-0.02332,0.04704
-0.02274,0.04742
-0.02232,0.0477
-0.02173,0.04809
-0.02128,0.04839
-0.02076,0.04871
-0.02022,0.04904
-0.01966,0.04934
-0.01912,0.04962
-0.01852,0.04994
-0.01804,0.05018
-0.01741,0.05048
-0.01689,0.05072
-0.01631,0.05099
-0.01575,0.05123
-0.01516,0.05146
-0.01456,0.0517
-0.01401,0.0519
-0.01338,0.05213
-0.01285,0.0523
-0.01231,0.05248
-0.01159,0.0527
-0.01101,0.05287
-0.0104,0.05303
-0.00981,0.05318
-0.00918,0.05333
-0.00859,0.05346
-0.00798,0.05358
-0.00728,0.05371
-0.00677,0.0538
-0.00609,0.05391
-0.00552,0.054
-0.00489,0.05408
-0.00425,0.05416
-0.00362,0.05421
-0.00299,0.05425
-0.00234,0.0543
-0.00171,0.05433
-0.00111,0.05434
-0.00043,0.05435
0.00014,0.05435
0.00087,0.05435
0.00136,0.05433
0.00204,0.05429
0.00268,0.05426
0.00334,0.05421
0.00399,0.05414
0.00449,0.05408
0.00521,0.05398
0.00582,0.05389
0.00644,0.05381
0.0071,0.05371
0.00768,0.05359
0.0083,0.05345
0.00891,0.05332
0.00957,0.05317
0.01021,0.05301
0.0108,0.05285
0.01142,0.05266
0.01199,0.05248
0.01261,0.05229
0.01323,0.05208
0.01375,0.05189
0.01434,0.05167
0.01499,0.05141
0.01555,0.05118
0.01615,0.05092
0.01665,0.0507
0.01731,0.05041
0.0178,0.05018
0.01839,0.04988
0.019,0.04954
0.01952,0.04925
0.02004,0.04895
0.02058,0.04864
0.02117,0.04828
0.02167,0.04797
0.0222,0.04762
0.02272,0.04727
0.02326,0.04691
0.0237,0.04662
0.0243,0.04616
0.02471,0.04581
0.0252,0.0454
0.02569,0.04499
0.02615,0.04461
0.02663,0.0442
0.02707,0.04379
0.02753,0.04335
0.02798,0.04292
0.02841,0.04251
0.02887,0.04207
0.02928,0.04167
0.02974,0.04112
0.03011,0.04068
0.03051,0.0402
0.03088,0.03976
0.03128,0.03929
0.03168,0.03882
0.03214,0.03827
