# x1,x2,x3,x4,u
-3.096999883651733398e+00,-3.909899902343750000e+02,5.488399887084960938e+01,-2.859900093078613281e+01,5.279999971389770508e-01
-3.880000114440917969e+00,-3.917330017089843750e+02,5.481900024414062500e+01,-3.618299865722656250e+01,6.079999804496765137e-01
-4.664000034332275391e+00,-3.922579956054687500e+02,5.473899841308593750e+01,-4.381900024414062500e+01,6.869999766349792480e-01
-5.448999881744384766e+00,-3.925299987792968750e+02,5.464300155639648438e+01,-5.149800109863281250e+01,7.670000195503234863e-01
-6.234000205993652344e+00,-3.925230102539062500e+02,5.453300094604492188e+01,-5.920399856567382812e+01,8.460000157356262207e-01
-7.019000053405761719e+00,-3.922179870605468750e+02,5.440700149536132812e+01,-6.692299652099609375e+01,9.259999990463256836e-01
-7.802999973297119141e+00,-3.916029968261718750e+02,5.426499938964843750e+01,-7.463899993896484375e+01,1.006000041961669922e+00
-8.585000038146972656e+00,-3.906690063476562500e+02,5.410800170898437500e+01,-8.233799743652343750e+01,1.085000038146972656e+00
-9.364999771118164062e+00,-3.894159851074218750e+02,5.393600082397460938e+01,-9.000299835205078125e+01,1.164999961853027344e+00
-1.014200019836425781e+01,-3.878469848632812500e+02,5.374800109863281250e+01,-9.762000274658203125e+01,1.243999958038330078e+00
-1.091600036621093750e+01,-3.859700012207031250e+02,5.354499816894531250e+01,-1.051780014038085938e+02,1.324000000953674316e+00
-1.168599987030029297e+01,-3.837969970703125000e+02,5.332799911499023438e+01,-1.126630020141601562e+02,1.404000043869018555e+00
-1.245100021362304688e+01,-3.813389892578125000e+02,5.309500122070312500e+01,-1.200660018920898438e+02,1.483000040054321289e+00
-1.321100044250488281e+01,-3.786149902343750000e+02,5.284700012207031250e+01,-1.273779983520507812e+02,1.562999963760375977e+00
-1.396500015258789062e+01,-3.756390075683593750e+02,5.258499908447265625e+01,-1.345919952392578125e+02,1.641999959945678711e+00
-1.471300029754638672e+01,-3.724309997558593750e+02,5.230899810791015625e+01,-1.417039947509765625e+02,1.722000002861022949e+00
