# x1,x2,x3,x4,u
2.005200004577636719e+01,2.526799964904785156e+01,4.966600036621093750e+01,-1.390699958801269531e+01,-3.502000093460083008e+00
2.010199928283691406e+01,2.420899963378906250e+01,4.963800048828125000e+01,-1.405200004577636719e+01,-3.502000093460083008e+00
2.014999961853027344e+01,2.364399909973144531e+01,4.961100006103515625e+01,-1.320300006866455078e+01,-3.502000093460083008e+00
2.019599914550781250e+01,2.273800086975097656e+01,4.958399963378906250e+01,-1.315499973297119141e+01,-3.502000093460083008e+00
2.024099922180175781e+01,2.210899925231933594e+01,4.955899810791015625e+01,-1.256200027465820312e+01,-3.502000093460083008e+00
2.028400039672851562e+01,2.137100028991699219e+01,4.953400039672851562e+01,-1.228600025177001953e+01,-3.502000093460083008e+00
2.032600021362304688e+01,2.066699981689453125e+01,4.950999832153320312e+01,-1.196599960327148438e+01,-3.502000093460083008e+00
2.036700057983398438e+01,2.009300041198730469e+01,4.948600006103515625e+01,-1.146100044250488281e+01,-3.502000093460083008e+00
2.040600013732910156e+01,1.931900024414062500e+01,4.946300125122070312e+01,-1.139299964904785156e+01,-3.502000093460083008e+00
2.044400024414062500e+01,1.888899993896484375e+01,4.944100189208984375e+01,-1.069699954986572266e+01,-3.502000093460083008e+00
2.048100090026855469e+01,1.806800079345703125e+01,4.941999816894531250e+01,-1.082699966430664062e+01,-3.502000093460083008e+00
2.051700019836425781e+01,1.774900054931640625e+01,4.939899826049804688e+01,-1.000300025939941406e+01,-3.502000093460083008e+00
2.055200004577636719e+01,1.691200065612792969e+01,4.937900161743164062e+01,-1.025800037384033203e+01,-3.502000093460083008e+00
2.058499908447265625e+01,1.666200065612792969e+01,4.935900115966796875e+01,-9.385000228881835938e+00,-3.502000093460083008e+00
2.061800003051757812e+01,1.585000038146972656e+01,4.934000015258789062e+01,-9.678999900817871094e+00,-3.502000093460083008e+00
2.064900016784667969e+01,1.562399959564208984e+01,4.932199859619140625e+01,-8.842000007629394531e+00,-3.502000093460083008e+00
2.068000030517578125e+01,1.487500000000000000e+01,4.930400085449218750e+01,-9.092000007629394531e+00,-3.502000093460083008e+00
2.070899963378906250e+01,1.463199996948242188e+01,4.928599929809570312e+01,-8.366000175476074219e+00,-3.502000093460083008e+00
2.073800086975097656e+01,1.397799968719482422e+01,4.927000045776367188e+01,-8.503999710083007812e+00,-3.502000093460083008e+00
2.076499938964843750e+01,1.368799972534179688e+01,4.925299835205078125e+01,-7.947000026702880859e+00,-3.502000093460083008e+00
2.079199981689453125e+01,1.315100002288818359e+01,4.923699951171875000e+01,-7.923999786376953125e+00,-3.502000093460083008e+00
2.081800079345703125e+01,1.279300022125244141e+01,4.922200012207031250e+01,-7.567999839782714844e+00,-3.502000093460083008e+00
2.084300041198730469e+01,1.238199996948242188e+01,4.920700073242187500e+01,-7.366000175476074219e+00,-3.502000093460083008e+00
2.086700057983398438e+01,1.195199966430664062e+01,4.919200134277343750e+01,-7.215000152587890625e+00,-3.502000093460083008e+00
2.089100074768066406e+01,1.166100025177001953e+01,4.917800140380859375e+01,-6.842000007629394531e+00,-3.502000093460083008e+00
2.091399955749511719e+01,1.116800022125244141e+01,4.916400146484375000e+01,-6.873000144958496094e+00,-3.502000093460083008e+00
2.093600082397460938e+01,1.097700023651123047e+01,4.915100097656250000e+01,-6.362999916076660156e+00,-3.502000093460083008e+00
2.095700073242187500e+01,1.044400024414062500e+01,4.913800048828125000e+01,-6.531000137329101562e+00,-3.502000093460083008e+00
2.097800064086914062e+01,1.032499980926513672e+01,4.912599945068359375e+01,-5.934999942779541016e+00,-3.502000093460083008e+00
2.099799919128417969e+01,9.777999877929687500e+00,4.911399841308593750e+01,-6.179999828338623047e+00,-3.502000093460083008e+00
2.101799964904785156e+01,9.696999549865722656e+00,4.910200119018554688e+01,-5.561999797821044922e+00,-3.502000093460083008e+00
2.103700065612792969e+01,9.170000076293945312e+00,4.909099960327148438e+01,-5.817999839782714844e+00,-3.502000093460083008e+00
2.105500030517578125e+01,9.093999862670898438e+00,4.908000183105468750e+01,-5.241000175476074219e+00,-3.502000093460083008e+00
2.107200050354003906e+01,8.614999771118164062e+00,4.906900024414062500e+01,-5.447999954223632812e+00,-3.502000093460083008e+00
2.109000015258789062e+01,8.512999534606933594e+00,4.905899810791015625e+01,-4.967000007629394531e+00,-3.502000093460083008e+00
2.110600090026855469e+01,8.107000350952148438e+00,4.904899978637695312e+01,-5.074999809265136719e+00,-3.502000093460083008e+00
2.112199974060058594e+01,7.958000183105468750e+00,4.903900146484375000e+01,-4.728000164031982422e+00,-3.502000093460083008e+00
2.113800048828125000e+01,7.638999938964843750e+00,4.902899932861328125e+01,-4.708000183105468750e+00,-3.502000093460083008e+00
