# x1,x2,x3,x4,u
1.194600009918212891e+01,-2.125299987792968750e+02,5.315299987792968750e+01,6.736900329589843750e+01,-1.832999944686889648e+00
1.152099990844726562e+01,-2.115800018310546875e+02,5.328499984741210938e+01,6.430799865722656250e+01,-1.753999948501586914e+00
1.109799957275390625e+01,-2.118840026855468750e+02,5.341099929809570312e+01,6.214699935913085938e+01,-1.674999952316284180e+00
1.067500019073486328e+01,-2.107599945068359375e+02,5.352999877929687500e+01,5.690399932861328125e+01,-1.674999952316284180e+00
1.026099967956542969e+01,-2.037660064697265625e+02,5.363899993896484375e+01,5.254800033569335938e+01,-1.674999952316284180e+00
9.864000320434570312e+00,-1.925110015869140625e+02,5.373799896240234375e+01,4.590700149536132812e+01,-1.674999952316284180e+00
9.494999885559082031e+00,-1.766889953613281250e+02,5.382500076293945312e+01,4.101200103759765625e+01,-1.674999952316284180e+00
9.159999847412109375e+00,-1.580599975585937500e+02,5.390000152587890625e+01,3.416199874877929688e+01,-1.674999952316284180e+00
8.866000175476074219e+00,-1.364109954833984375e+02,5.396300125122070312e+01,2.906800079345703125e+01,-1.674999952316284180e+00
8.616000175476074219e+00,-1.133249969482421875e+02,5.401499938964843750e+01,2.270899963378906250e+01,-1.674999952316284180e+00
8.413999557495117188e+00,-8.880200195312500000e+01,5.405500030517578125e+01,1.769400024414062500e+01,-1.674999952316284180e+00
8.260999679565429688e+00,-6.409500122070312500e+01,5.408499908447265625e+01,1.219799995422363281e+01,-1.674999952316284180e+00
8.156999588012695312e+00,-3.943199920654296875e+01,5.410499954223632812e+01,7.386000156402587891e+00,-1.674999952316284180e+00
8.102000236511230469e+00,-1.564099979400634766e+01,5.411500167846679688e+01,2.892999887466430664e+00,-1.674999952316284180e+00
8.093000411987304688e+00,6.835000038146972656e+00,5.411600112915039062e+01,-1.667999982833862305e+00,-1.674999952316284180e+00
8.126999855041503906e+00,2.763899993896484375e+01,5.410900115966796875e+01,-5.138999938964843750e+00,-1.674999952316284180e+00
8.201000213623046875e+00,4.615000152587890625e+01,5.409500122070312500e+01,-9.366000175476074219e+00,-1.674999952316284180e+00
8.309000015258789062e+00,6.248199844360351562e+01,5.407400131225585938e+01,-1.182699966430664062e+01,-1.674999952316284180e+00
8.447999954223632812e+00,7.587899780273437500e+01,5.404600143432617188e+01,-1.555200004577636719e+01,-1.674999952316284180e+00
8.609999656677246094e+00,8.688300323486328125e+01,5.401399993896484375e+01,-1.700499916076660156e+01,-1.674999952316284180e+00
8.791999816894531250e+00,9.465899658203125000e+01,5.397700119018554688e+01,-1.998299980163574219e+01,-1.674999952316284180e+00
8.987000465393066406e+00,1.000910034179687500e+02,5.393600082397460938e+01,-2.042499923706054688e+01,-1.674999952316284180e+00
9.189000129699707031e+00,1.023369979858398438e+02,5.389400100708007812e+01,-2.240200042724609375e+01,-1.674999952316284180e+00
9.394000053405761719e+00,1.024980010986328125e+02,5.384899902343750000e+01,-2.186300086975097656e+01,-1.674999952316284180e+00
9.595999717712402344e+00,9.980300140380859375e+01,5.380500030517578125e+01,-2.264999961853027344e+01,-1.674999952316284180e+00
9.791000366210937500e+00,9.542299652099609375e+01,5.376100158691406250e+01,-2.123399925231933594e+01,-1.674999952316284180e+00
9.975000381469726562e+00,8.874400329589843750e+01,5.371900177001953125e+01,-2.077300071716308594e+01,-1.674999952316284180e+00
1.014500045776367188e+01,8.084999847412109375e+01,5.368000030517578125e+01,-1.867700004577636719e+01,-1.674999952316284180e+00
1.029699993133544922e+01,7.136299896240234375e+01,5.364400100708007812e+01,-1.707099914550781250e+01,-1.674999952316284180e+00
1.042899990081787109e+01,6.114400100708007812e+01,5.361199951171875000e+01,-1.457100009918212891e+01,-1.674999952316284180e+00
1.053999996185302734e+01,5.010400009155273438e+01,5.358599853515625000e+01,-1.206799983978271484e+01,-1.674999952316284180e+00
1.062899971008300781e+01,3.877899932861328125e+01,5.356399917602539062e+01,-9.487000465393066406e+00,-1.674999952316284180e+00
1.069499969482421875e+01,2.739200019836425781e+01,5.354800033569335938e+01,-6.433000087738037109e+00,-1.674999952316284180e+00
1.073900032043457031e+01,1.610300064086914062e+01,5.353799819946289062e+01,-4.081999778747558594e+00,-1.674999952316284180e+00
1.076000022888183594e+01,5.429999828338623047e+00,5.353300094604492188e+01,-8.569999933242797852e-01,-1.674999952316284180e+00
1.076099967956542969e+01,-4.842000007629394531e+00,5.353300094604492188e+01,1.009999990463256836e+00,-1.674999952316284180e+00
1.074199962615966797e+01,-1.395699977874755859e+01,5.353799819946289062e+01,4.051000118255615234e+00,-1.674999952316284180e+00
1.070499992370605469e+01,-2.245400047302246094e+01,5.354700088500976562e+01,5.281000137329101562e+00,-1.674999952316284180e+00
1.065299987792968750e+01,-2.942200088500976562e+01,5.356000137329101562e+01,7.855000019073486328e+00,-1.674999952316284180e+00
1.058800029754638672e+01,-3.563800048828125000e+01,5.357699966430664062e+01,8.402000427246093750e+00,-1.674999952316284180e+00
1.051200008392333984e+01,-4.014099884033203125e+01,5.359500122070312500e+01,1.032100009918212891e+01,-1.674999952316284180e+00
1.042800045013427734e+01,-4.383499908447265625e+01,5.361600112915039062e+01,1.024499988555908203e+01,-1.674999952316284180e+00
1.033899974822998047e+01,-4.581800079345703125e+01,5.363800048828125000e+01,1.141600036621093750e+01,-1.674999952316284180e+00
1.024600028991699219e+01,-4.700099945068359375e+01,5.365999984741210938e+01,1.085200023651123047e+01,-1.674999952316284180e+00
1.015200042724609375e+01,-4.663700103759765625e+01,5.368199920654296875e+01,1.126599979400634766e+01,-1.674999952316284180e+00
1.006000041961669922e+01,-4.554000091552734375e+01,5.370399856567382812e+01,1.039000034332275391e+01,-1.674999952316284180e+00
9.970999717712402344e+00,-4.318899917602539062e+01,5.372399902343750000e+01,1.010499954223632812e+01,-1.674999952316284180e+00
9.887999534606933594e+00,-4.021200180053710938e+01,5.374399948120117188e+01,9.097999572753906250e+00,-1.674999952316284180e+00
9.810999870300292969e+00,-3.636399841308593750e+01,5.376100158691406250e+01,8.218999862670898438e+00,-1.674999952316284180e+00
9.741999626159667969e+00,-3.202299880981445312e+01,5.377600097656250000e+01,7.238999843597412109e+00,-1.674999952316284180e+00
9.682999610900878906e+00,-2.723299980163574219e+01,5.379000091552734375e+01,5.901000022888183594e+00,-1.674999952316284180e+00
9.633999824523925781e+00,-2.209600067138671875e+01,5.380099868774414062e+01,5.064000129699707031e+00,-1.674999952316284180e+00
9.595000267028808594e+00,-1.692900085449218750e+01,5.380899810791015625e+01,3.421000003814697266e+00,-1.674999952316284180e+00
9.565999984741210938e+00,-1.156099987030029297e+01,5.381499862670898438e+01,2.796000003814697266e+00,-1.674999952316284180e+00
9.548000335693359375e+00,-6.535999774932861328e+00,5.381900024414062500e+01,1.013000011444091797e+00,-1.674999952316284180e+00
9.539999961853027344e+00,-1.445000052452087402e+00,5.382099914550781250e+01,6.230000257492065430e-01,-1.674999952316284180e+00
9.541000366210937500e+00,3.005000114440917969e+00,5.381999969482421875e+01,-1.138000011444091797e+00,-1.674999952316284180e+00
9.552000045776367188e+00,7.401999950408935547e+00,5.381800079345703125e+01,-1.304999947547912598e+00,-1.674999952316284180e+00
9.569999694824218750e+00,1.095800018310546875e+01,5.381399917602539062e+01,-2.890000104904174805e+00,-1.674999952316284180e+00
9.595000267028808594e+00,1.436200046539306641e+01,5.380799865722656250e+01,-2.875000000000000000e+00,-1.674999952316284180e+00
9.626000404357910156e+00,1.683399963378906250e+01,5.380099868774414062e+01,-4.150000095367431641e+00,-1.674999952316284180e+00
9.661999702453613281e+00,1.907299995422363281e+01,5.379299926757812500e+01,-4.006000041961669922e+00,-1.674999952316284180e+00
9.701000213623046875e+00,2.039699935913085938e+01,5.378400039672851562e+01,-4.875000000000000000e+00,-1.674999952316284180e+00
9.743000030517578125e+00,2.142799949645996094e+01,5.377399826049804688e+01,-4.659999847412109375e+00,-1.674999952316284180e+00
9.786000251770019531e+00,2.165299987792968750e+01,5.376499938964843750e+01,-5.065999984741210938e+00,-1.674999952316284180e+00
